study_factor,dv_name,coef_name,version,est,se,li,ui
"McGinty, Webster, and Barry (2013)",SMI Danger,News,Original,0.09478503872760637,0.04945721362944013,-0.0021510999860962915,0.191721177441309
"McGinty, Webster, and Barry (2013)",SMI Danger,LCM Ban,Original,-0.07076197933115728,0.0604691563147097,-0.18928152570798829,0.04775756704567373
"McGinty, Webster, and Barry (2013)",SMI Danger,Mental Illness,Original,-0.12095412845949512,0.06142268661107405,-0.24134259421720025,-5.656627017899818e-4
Craig and Richeson (2014),Support for Immigration,Majority Minority,Mechanical Turk,-0.222411719369243,0.07279414370787744,-0.3650882410366828,-0.0797351977018032
Craig and Richeson (2014),Support for Immigration,Majority Minority,Original,-0.002692042260063432,0.09519891821839122,-0.1892819219681102,0.18389783744798335
Craig and Richeson (2014),Way of Life,Majority Minority,Mechanical Turk,0.07798965844711403,0.06633283376199033,-0.052022695726387014,0.20800201262061507
Craig and Richeson (2014),Way of Life,Majority Minority,Original,-0.1441088651768828,0.11031854993877127,-0.3603332230568745,0.07211549270310891
Johnston and Ballard (2016),Agree on Immigration,Expert Treatment,Mechanical Turk,0.3265111894233523,0.036051734690610814,0.2558497894297551,0.39717258941694944
Johnston and Ballard (2016),Agree on Immigration,Expert Treatment,Original,0.1381005289453696,0.11338895680212445,-0.08414182638679432,0.36034288427753347
Johnston and Ballard (2016),Agree on Health Care,Expert Treatment,Mechanical Turk,0.34464272244313315,0.03570696358412878,0.2746570738182407,0.4146283710680256
Johnston and Ballard (2016),Agree on Health Care,Expert Treatment,Original,0.14992656236930457,0.09982452435629567,-0.045729505369034945,0.3455826301076441
Johnston and Ballard (2016),Agree on Trade with China,Expert Treatment,Mechanical Turk,0.4172602739725951,0.035658877928608224,0.34736887323252297,0.4871516747126672
Johnston and Ballard (2016),Agree on Trade with China,Expert Treatment,Original,0.24494551038893927,0.10350339788540781,0.04207885053353996,0.4478121702443386
Johnston and Ballard (2016),Agree on Tax Cut,Expert Treatment,Mechanical Turk,0.43676386598993144,0.035725291057249954,0.36674229551772153,0.5067854364621414
Johnston and Ballard (2016),Agree on Tax Cut,Expert Treatment,Original,0.35223552659727564,0.1013939332916173,0.15350341734570572,0.5509676358488456
Johnston and Ballard (2016),Agree on Gold Standard,Expert Treatment,Mechanical Turk,0.50355160125093,0.035425189100702435,0.43411823061355326,0.5729849718883068
Johnston and Ballard (2016),Agree on Gold Standard,Expert Treatment,Original,0.3785488123348672,0.10629125062873222,0.17021796110255205,0.5868796635671824
Hiscox (2006),Support for Free Trade,Expert,TESS/GfK,0.17422554013502733,0.04846753163248057,0.07922917813536542,0.2692219021346892
Hiscox (2006),Support for Free Trade,Positive,TESS/GfK,-0.03347835227849216,0.06531689768504417,-0.16149947174117874,0.09454276718419441
Hiscox (2006),Support for Free Trade,Negative,TESS/GfK,-0.3235229556258657,0.06693760642477067,-0.45472066421841617,-0.1923252470333152
Hiscox (2006),Support for Free Trade,Pos + Neg,TESS/GfK,-0.23247265116801438,0.06876070175545465,-0.36724362660870546,-0.09770167572732327
Hiscox (2006),Support for Free Trade,Expert,Mechanical Turk,0.2759881895575526,0.033350842345348415,0.2106205385606697,0.3413558405544355
Hiscox (2006),Support for Free Trade,Positive,Mechanical Turk,-0.07696197489560566,0.042378972176608104,-0.16002476036175756,0.0061008105705462196
Hiscox (2006),Support for Free Trade,Negative,Mechanical Turk,-0.32071034039373253,0.04660436955897544,-0.4120549047293244,-0.22936577605814068
Hiscox (2006),Support for Free Trade,Pos + Neg,Mechanical Turk,-0.33171426567072837,0.046414943415436255,-0.42268755476498343,-0.2407409765764733
Hiscox (2006),Support for Free Trade,Expert,Original,0.2454111742261753,0.06111562536760108,0.1256245485056772,0.36519779994667345
Hiscox (2006),Support for Free Trade,Positive,Original,-0.1740014677998884,0.08287763743210994,-0.33644163716682385,-0.011561298432952921
Hiscox (2006),Support for Free Trade,Negative,Original,-0.28451968503918673,0.08453596227211878,-0.4502101710925395,-0.11882919898583394
Hiscox (2006),Support for Free Trade,Pos + Neg,Original,-0.40757432006428407,0.08611899487016318,-0.5763675500098039,-0.23878109011876422
Levendusky and Malhotra (2015),Extremity of Policy Views,Polarizied Treatment,TESS/GfK,0.05000665596009946,0.057481640648851286,-0.06265735971164907,0.16267067163184798
Levendusky and Malhotra (2015),Extremity of Policy Views,Polarizied Treatment,Mechanical Turk,-0.047550498849702465,0.0395563529906825,-0.12508095071144015,0.02997995301203523
Levendusky and Malhotra (2015),Extremity of Policy Views,Polarizied Treatment,Original,0.021646209981521173,0.08412846137745435,-0.14324557431828935,0.1865379942813317
Levendusky and Malhotra (2015),Perceived Polarization,Polarizied Treatment,TESS/GfK,0.46518896443138574,0.08143606771460123,0.30557427171076734,0.6248036571520041
Levendusky and Malhotra (2015),Perceived Polarization,Polarizied Treatment,Mechanical Turk,0.362235870732651,0.05050012335282314,0.26325562896111765,0.4612161125041844
Levendusky and Malhotra (2015),Perceived Polarization,Polarizied Treatment,Original,0.1603199231285336,0.08070402213954046,0.0021400397350342937,0.3184998065220329
