study,dv,term,mt,mt_se,original,original_se,mt_li,mt_ui,original_li,original_ui,original_sig
concealed_carry,dv_gun_s,Z_gunrights,0.21370109138876475,0.051316343835200236,0.3286208222950994,0.0834969603283146,0.1131210574717723,0.3142811253057572,0.16496678005160278,0.49227486453859604,Significant
immigration,brader_num_imm_s,Z_brader_pos_negpositive,0.2554453205940322,0.04789770522072783,0.38628696803251494,0.1434391772304927,0.16156581836140566,0.3493248228266587,0.10514618066074921,0.6674277554042807,Significant
immigration,brader_neg_impact_s,Z_brader_pos_negpositive,-0.22428437578623187,0.04294731667022697,-0.27675636230979495,0.12910259780924177,-0.3084611164598767,-0.140107635112587,-0.5297974540159088,-0.02371527060368106,Significant
death_penalty,CP_dv_s,Z_CP_3race,0.10489531692918454,0.048966988231626964,0.4170544865501453,0.09491087269613097,0.008920019995195691,0.2008706138631734,0.23102917606572862,0.603079797034562,Significant
superordinate_id,willing_s,Z_identityOther Americans,-0.07517906033674245,0.0950368618400158,0.17575150746048895,0.10487822722785112,-0.2614513095431734,0.11109318886968851,-0.02980981790609924,0.3813128328270772,Not Significant
superordinate_id,willing_s,Z_particularismPublic Schools,0.19097326441463702,0.0949285992094177,0.1610198884683932,0.10471182355332212,0.00491320996417835,0.3770333188650957,-0.04421528569611813,0.3662550626329045,Not Significant
patriot_act,PA_support_s,T1_condition_nameSC_MB,-0.1763484655035281,0.10662036239740805,-0.3755003668254865,0.12353469938184145,-0.3853243758024478,0.032627444795391675,-0.6176283776138958,-0.13337235603707726,Significant
patriot_act,PA_support_s,T1_condition_nameSC_NO,-0.39034224695587505,0.10897466011800615,-0.41419212759635365,0.1304520725325294,-0.6039325807871672,-0.176751913124583,-0.6698781897601114,-0.158506065432596,Significant
patriot_act,PA_support_s,T1_condition_nameSC_OL,-0.39815006909425943,0.10672630329064349,-0.4503068312007135,0.12494354139157636,-0.6073336235439206,-0.18896651464459818,-0.6951961723282032,-0.20541749007322385,Significant
patriot_act,PA_support_s,T1_condition_nameSP_MB,0.20180093747407615,0.10790607143878465,0.3303354757378321,0.12483976362377391,-0.009694962545941765,0.41329683749409407,0.08564953903523526,0.5750214124404289,Significant
patriot_act,PA_support_s,T1_condition_nameSP_NO,0.3244376733559105,0.11493497050675588,0.42533868371693806,0.1201425166171776,0.09916513116266898,0.549710215549152,0.18985935114726996,0.6608180162866062,Significant
patriot_act,PA_support_s,T1_condition_nameSP_OL,0.2746053634640167,0.11064589795894154,0.3347223230819815,0.12246663180002372,0.057739403464491273,0.49147132346354216,0.09468772475393503,0.574756921410028,Significant
patriot_act,PA_support_s,T1_condition_nameSP_SC_MB,-0.10008982722113043,0.11777833079275883,-0.06765772375233839,0.14333582286857827,-0.33093535557493775,0.13075570113267687,-0.34859593657475174,0.213280489070075,Not Significant
patriot_act,PA_support_s,T1_condition_nameSP_SC_NO,0.0137163242481094,0.12554994376584705,-0.07707841946469053,0.15754022105140314,-0.23236156553295081,0.25979421402916963,-0.3858572527254407,0.23170041379605966,Not Significant
patriot_act,PA_support_s,T1_condition_nameSP_SC_OL,-0.16404037886726716,0.130245621968018,0.006342911601782826,0.13291392935315394,-0.41932179792458246,0.09124104019004811,-0.25416838993039886,0.26685421313396457,Not Significant
elite_endorsements,imm_dv_s,Z_matchin_party,0.10441498256241753,0.06259291528325751,0.22867125871569666,0.08613242548467694,-0.018267131392767186,0.22709709651760224,0.059851704765729874,0.39749081266566344,Significant
elite_endorsements,fore_dv_s,Z_matchin_party,0.10776481488592575,0.06540556719015254,0.1779431648729671,0.07916117672896936,-0.020430096806773226,0.23595972657862474,0.022787258484187167,0.33309907126174704,Significant
mental_illness,mcginty_magazines_s,Z_mcginty_news,0.009448414555120294,0.038811091083791376,0.11316318161324261,0.04415668385173696,-0.0666213239691108,0.0855181530793514,0.026616081263838173,0.19971028196264706,Significant
mental_illness,mcginty_magazines_s,Z_mcginty_policylcm,0.11813644146435733,0.046921476917382104,0.18436662334531084,0.055401350137788526,0.0261703467062884,0.21010253622242625,0.07577997707524534,0.2929532696153764,Significant
mental_illness,mcginty_magazines_s,Z_mcginty_policymi,-0.007441244358853065,0.04849566565051575,0.0986617440905001,0.053939247629166576,-0.10249274903386393,0.08761026031615782,-0.007059181262666386,0.2043826694436666,Not Significant
mental_illness,mcginty_SMI_danger_s,Z_mcginty_news,0.023073190154835582,0.04403459128250143,0.09478503872760631,0.049457213629440125,-0.06323460875886722,0.10938098906853838,-0.002151099986096333,0.19172117744130895,Not Significant
mental_illness,mcginty_SMI_danger_s,Z_mcginty_policylcm,0.01227686776413633,0.05426971404193939,-0.07076197933115731,0.06046915631470976,-0.09409177175806488,0.11864550728633755,-0.18928152570798845,0.04775756704567381,Not Significant
mental_illness,mcginty_SMI_danger_s,Z_mcginty_policymi,-0.0750689080529621,0.05418075262327192,-0.12095412845949519,0.06142268661107407,-0.18126318319457507,0.031125367088650865,-0.24134259421720036,-5.656627017900095e-4,Significant
system_threat,craig_num_imm_s,Z_craigcraig_treatment,-0.22241171936924478,0.07279414370787772,-0.002692042260064788,0.09519891821839131,-0.36508824103668513,-0.07973519770180446,-0.18928192196811175,0.1838978374479822,Not Significant
system_threat,craig_wol_s,Z_craigcraig_treatment,0.07798965844711422,0.06633283376199052,-0.14410886517688357,0.11031854993877133,-0.05202269572638718,0.20800201262061563,-0.3603332230568754,0.07211549270310824,Not Significant
expert_economists,agree_1_s,Z_expert_1,0.3265111894233591,0.03605173469061161,0.1381005289453696,0.11338895680212446,0.25584978942976033,0.3971725894169579,-0.08414182638679435,0.3603428842775335,Not Significant
expert_economists,agree_2_s,Z_expert_2,0.3446427224431283,0.03570696358412844,0.14992656236930463,0.09982452435629567,0.27465707381823656,0.4146283710680201,-0.04572950536903489,0.3455826301076441,Not Significant
expert_economists,agree_3_s,Z_expert_3,0.41726027397260007,0.035658877928608425,0.24494551038893914,0.10350339788540779,0.3473688732325276,0.48715167471267257,0.04207885053353988,0.4478121702443384,Significant
expert_economists,agree_4_s,Z_expert_4,0.4367638659899339,0.03572529105724999,0.35223552659727553,0.10139393329161725,0.3667422955177239,0.5067854364621438,0.15350341734570572,0.5509676358488453,Significant
expert_economists,agree_5_s,Z_expert_5,0.5035516012509429,0.035425189100703046,0.3785488123348673,0.10629125062873222,0.4341182306135649,0.5729849718883209,0.17021796110255216,0.5868796635671825,Significant
free_trade,Y_Hiscox_s,Z_Hiscox_expert,0.2759881895575496,0.033350842345347964,0.24541117422617517,0.061115625367601095,0.2106205385606676,0.34135584055443163,0.12562454850567703,0.36519779994667334,Significant
free_trade,Y_Hiscox_s,Z_Hiscox_valencepositive,-0.07696197489560506,0.04237897217660844,-0.1740014677998882,0.08287763743210994,-0.1600247603617576,0.0061008105705474686,-0.3364416371668237,-0.011561298432952727,Significant
free_trade,Y_Hiscox_s,Z_Hiscox_valencenegative,-0.3207103403937325,0.04660436955897521,-0.2845196850391861,0.08453596227211868,-0.4120549047293239,-0.22936577605814107,-0.4502101710925387,-0.11882919898583352,Significant
free_trade,Y_Hiscox_s,Z_Hiscox_valenceboth,-0.33171426567072726,0.046414943415436415,-0.4075743200642848,0.08611899487016325,-0.42268755476498265,-0.2407409765764719,-0.5763675500098048,-0.23878109011876483,Significant
polarization,L_ex_s,Z_Levenduskypolarized,-0.047550498849696594,0.03955635299068197,0.021646209981521204,0.08412846137745439,-0.12508095071143324,0.02997995301204006,-0.1432455743182894,0.1865379942813318,Not Significant
polarization,L_dif_s,Z_Levenduskypolarized,0.3622358707326557,0.050500123352822494,0.16031992312853344,0.08070402213954049,0.2632556289611236,0.46121611250418776,0.0021400397350340716,0.3184998065220328,Significant
frame_breadth,Y_crime_s,Z_crime_Y_crime,-0.011912754896371176,0.05235978973884216,0.060454951414520106,0.05168012687656479,-0.1145379427845018,0.09071243299175946,-0.04083809726354688,0.1617480000925871,Not Significant
frame_breadth,Y_health_s,Z_health_Y_health,-0.046453389545702425,0.04368661567091926,-0.025547217762715825,0.0466720198081769,-0.13207915626070418,0.03917237716929933,-0.11702437658674256,0.06592994106131089,Not Significant
frame_breadth,Y_stimulus_s,Z_stimulus_Y_stimulus,-0.2141053888146301,0.0380552902407807,-0.1638052769956075,0.04486909935576062,-0.28869375768656025,-0.13951701994269994,-0.2517487117328983,-0.0758618422583167,Significant
frame_breadth,Y_terror_s,Z_terror_Y_terror,0.1068790659607842,0.052996074467936014,0.24948792152007326,0.05259603233912816,0.0030067600036296077,0.2107513719179388,0.14639969813538206,0.35257614490476447,Significant
