appendix_table,study,dv,term,sample,est_paper,se_paper,stars_paper
Appendix Table 10,expert_economists,agree_4_s,Z_expert_4,mt,0.437,0.036,***
Appendix Table 10,expert_economists,agree_5_s,Z_expert_5,original,0.379,0.106,***
Appendix Table 10,expert_economists,agree_5_s,Z_expert_5,mt,0.504,0.035,***
Appendix Table 11,free_trade,Y_Hiscox_s,Z_Hiscox_expert,original,0.245,0.061,***
Appendix Table 11,free_trade,Y_Hiscox_s,Z_Hiscox_expert,mt,0.276,0.033,***
Appendix Table 11,free_trade,Y_Hiscox_s,Z_Hiscox_expert,gfk,0.174,0.048,***
Appendix Table 11,free_trade,Y_Hiscox_s,Z_Hiscox_valencepositive,original,-0.174,0.083,**
Appendix Table 11,free_trade,Y_Hiscox_s,Z_Hiscox_valencepositive,mt,-0.077,0.042,*
Appendix Table 11,free_trade,Y_Hiscox_s,Z_Hiscox_valencepositive,gfk,-0.033,0.065,
Appendix Table 11,free_trade,Y_Hiscox_s,Z_Hiscox_valencenegative,original,-0.285,0.085,***
Appendix Table 11,free_trade,Y_Hiscox_s,Z_Hiscox_valencenegative,mt,-0.321,0.047,***
Appendix Table 11,free_trade,Y_Hiscox_s,Z_Hiscox_valencenegative,gfk,-0.324,0.067,***
Appendix Table 11,free_trade,Y_Hiscox_s,Z_Hiscox_valenceboth,original,-0.408,0.086,***
Appendix Table 11,free_trade,Y_Hiscox_s,Z_Hiscox_valenceboth,mt,-0.332,0.046,***
Appendix Table 11,free_trade,Y_Hiscox_s,Z_Hiscox_valenceboth,gfk,-0.232,0.069,***
Appendix Table 12,polarization,L_ex_s,Z_Levenduskypolarized,original,0.022,0.084,
Appendix Table 12,polarization,L_ex_s,Z_Levenduskypolarized,mt,-0.048,0.040,
Appendix Table 12,polarization,L_ex_s,Z_Levenduskypolarized,gfk,0.050,0.057,
Appendix Table 13,polarization,L_dif_s,Z_Levenduskypolarized,original,0.160,0.081,**
Appendix Table 13,polarization,L_dif_s,Z_Levenduskypolarized,mt,0.362,0.051,***
Appendix Table 13,polarization,L_dif_s,Z_Levenduskypolarized,gfk,0.465,0.081,***
Appendix Table 14,frame_breadth,Y_crime_s,Z_crime_Y_crime,original,0.060,0.052,
Appendix Table 14,frame_breadth,Y_crime_s,Z_crime_Y_crime,mt,-0.012,0.052,
Appendix Table 14,frame_breadth,Y_crime_s,Z_crime_Y_crime,gfk,0.086,0.052,
Appendix Table 15,frame_breadth,Y_health_s,Z_health_Y_health,original,-0.026,0.047,
Appendix Table 15,frame_breadth,Y_health_s,Z_health_Y_health,mt,-0.046,0.044,
Appendix Table 15,frame_breadth,Y_health_s,Z_health_Y_health,gfk,-0.025,0.049,
Appendix Table 16,frame_breadth,Y_stimulus_s,Z_stimulus_Y_stimulus,original,-0.164,0.045,***
Appendix Table 16,frame_breadth,Y_stimulus_s,Z_stimulus_Y_stimulus,mt,-0.214,0.038,***
Appendix Table 16,frame_breadth,Y_stimulus_s,Z_stimulus_Y_stimulus,gfk,-0.235,0.041,***
Appendix Table 17,frame_breadth,Y_terror_s,Z_terror_Y_terror,original,0.249,0.053,***
Appendix Table 17,frame_breadth,Y_terror_s,Z_terror_Y_terror,mt,0.107,0.053,**
Appendix Table 17,frame_breadth,Y_terror_s,Z_terror_Y_terror,gfk,0.183,0.055,***
